Name,Boroughs,Cuisine,Address,Phone Number,Website,Rating,Reviews,Price,Category,Features,Lat,Lng
Fitoor Cafe & Grill Lounge,Queens,"Hookah Bars, Halal, Cafes","179-22 Union Tpke, Flushing, NY 11366",1 718-969-7000,fitoorcafe.mknxonline.com,4.6,956,2,"Hookah Bars, Halal, Cafes","Delivery, Takeout, 
Dine-in, Children",40.7265806,-73.7882865
Carifesta,Queens,Caribbean,"12615 Liberty Ave, South Richmond Hill, NY 11419",1 718-322-2210,carifesta.edan.io,3.7,444,1,Caribbean,"Delivery, Takeout, 
Dine-in, Children",40.6887898,-73.8179396
Carifesta,Bronx,Caribbean,"4251 White Plains Rd, Bronx, NY 10466",1 718-325-2261,www.carifestarestaurant.com,4.2,174,1,Caribbean,"Delivery, Takeout, 
Dine-in, Children",40.8947879,-73.8568142
Terry And Yaki Cart,Queens,Japanese,"27-01 Queens Plaza N, Long Island City, NY 11101",,,4.6,250,1,Japanese,"Takeout, 
Dine-in,",40.7510021,-73.9402437
Nur Thai,Queens,Thai ,"63-32 Woodhaven Blvd, Rego Park, NY 11374",1 718-255-6141,www.ordernurthai.com,4.3,1205,2,Thai ,"No-contact delivery,
Delivery,
Takeout,
Dine-in",40.72345,-73.8689519
Momo's Mediterranean Grill,Brooklyn,Mediterranean,"25 101st Ave, Brooklyn, NY 11208",1 718-552-2270,n/a,4,408,2,,"Delivery, Takeout, 
Dine-in, Children",40.6793731,-73.8637847
Nepali Bhanchha Ghar,Queens,Nepalese ,"74-15 Roosevelt Ave, Jackson Heights, NY",(718) 255-6657,https://www.bhanchhagharny.com/,3.9,848,1,Nepalese ,"Delivery, Takeout, 
Dine-in",40.7471963,-73.891111
Thai Nara,Queens,Thai ,"64-02 35th Ave, Woodside, NY 11377",718-606-8842,www.thainarahalal.com,4.6,333,1,Thai,,40.750112,-73.89848
Big Arc Chicken,Manhattan ,Middle Eastern ,"233 1st Ave., New York, NY 10003",1 212-477-0091,www.bigarchicken.com,4.3,528,1,Middle Eastern ,"No-contact delivery,
Delivery,
Takeout,
Dine-in",40.7311919,-73.9829734
Aroma Indian Cuisine,Queens,Indian ,"6340 Woodhaven Blvd, Rego Park, NY 11374",7182000010,https://www.orderaromaindian.com/,4.2,467,2,Indian ,"No-contact delivery,
Curbside pickup,
Dine-in",40.7233575,-73.8686657
